in s,C2 in V
-2.9999182E+00,-1.46484E-02
-2.9998723E+00,-4.88281E-03
-2.9998264E+00,-2.44141E-02
-2.9997805E+00,-4.88281E-03
-2.9997346E+00,-4.88281E-03
-2.9996887E+00,-7.32422E-02
-2.9996428E+00,2.44141E-02
-2.9995969E+00,4.88281E-03
-2.9995510E+00,-4.88281E-03
-2.9995051E+00,4.88281E-03
-2.9994592E+00,-4.88281E-03
-2.9994133E+00,1.46484E-02
-2.9993674E+00,-4.88281E-03
-2.9993215E+00,4.88281E-03
-2.9992756E+00,1.46484E-02
-2.9992296E+00,-4.88281E-03
-2.9991837E+00,-2.44141E-02
-2.9991378E+00,2.44141E-02
-2.9990919E+00,-2.44141E-02
-2.9990460E+00,-2.44141E-02
-2.9990001E+00,-2.44141E-02
-2.9989542E+00,2.44141E-02
-2.9989083E+00,-5.37109E-02
-2.9988624E+00,-1.46484E-02
-2.9988165E+00,-1.46484E-02
-2.9987706E+00,4.88281E-03
-2.9987247E+00,-4.88281E-03
-2.9986788E+00,-2.44141E-02
-2.9986329E+00,-4.88281E-03
-2.9985870E+00,4.88281E-03
-2.9985411E+00,4.88281E-03
-2.9984952E+00,-3.41797E-02
-2.9984493E+00,2.44141E-02
-2.9984034E+00,-2.44141E-02
-2.9983575E+00,1.46484E-02
-2.9983116E+00,4.88281E-03
-2.9982657E+00,-2.44141E-02
-2.9982198E+00,-1.46484E-02
-2.9981739E+00,-3.41797E-02
-2.9981280E+00,-3.41797E-02
-2.9980820E+00,1.46484E-02
-2.9980361E+00,-3.41797E-02
-2.9979902E+00,-2.44141E-02
-2.9979443E+00,4.88281E-03
-2.9978984E+00,-1.46484E-02
-2.9978525E+00,-5.37109E-02
-2.9978066E+00,2.44141E-02
-2.9977607E+00,4.88281E-03
-2.9977148E+00,1.46484E-02
-2.9976689E+00,-2.44141E-02
-2.9976230E+00,3.41797E-02
-2.9975771E+00,2.44141E-02
-2.9975312E+00,-2.44141E-02
-2.9974853E+00,-3.41797E-02
-2.9974394E+00,1.46484E-02
-2.9973935E+00,4.88281E-03
-2.9973476E+00,-3.41797E-02
-2.9973017E+00,-1.46484E-02
-2.9972558E+00,-4.39453E-02
-2.9972099E+00,-1.46484E-02
-2.9971640E+00,4.88281E-03
-2.9971181E+00,-2.44141E-02
-2.9970722E+00,-4.88281E-03
-2.9970263E+00,-3.41797E-02
-2.9969804E+00,4.88281E-03
-2.9969344E+00,-5.37109E-02
-2.9968885E+00,2.44141E-02
-2.9968426E+00,-1.46484E-02
-2.9967967E+00,4.88281E-03
-2.9967508E+00,-1.46484E-02
-2.9967049E+00,-1.46484E-02
-2.9966590E+00,-4.88281E-03
-2.9966131E+00,-6.34766E-02
-2.9965672E+00,4.88281E-03
-2.9965213E+00,4.88281E-03
-2.9964754E+00,-3.41797E-02
-2.9964295E+00,2.44141E-02
-2.9963836E+00,-4.88281E-03
-2.9963377E+00,-2.44141E-02
-2.9962918E+00,4.88281E-03
-2.9962459E+00,-4.88281E-03
-2.9962000E+00,-5.37109E-02
-2.9961541E+00,-4.88281E-03
-2.9961082E+00,-2.44141E-02
-2.9960623E+00,-2.44141E-02
-2.9960164E+00,4.88281E-03
-2.9959705E+00,-4.88281E-03
-2.9959246E+00,-3.41797E-02
-2.9958787E+00,1.46484E-02
-2.9958328E+00,-4.88281E-03
-2.9957868E+00,-2.44141E-02
-2.9957409E+00,1.46484E-02
-2.9956950E+00,-2.44141E-02
-2.9956491E+00,-2.44141E-02
-2.9956032E+00,1.46484E-02
-2.9955573E+00,-2.44141E-02
-2.9955114E+00,-2.44141E-02
-2.9954655E+00,-2.44141E-02
-2.9954196E+00,-2.44141E-02
-2.9953737E+00,-1.46484E-02
-2.9953278E+00,4.88281E-03
-2.9952819E+00,5.37109E-02
-2.9952360E+00,-4.88281E-03
-2.9951901E+00,-2.44141E-02
-2.9951442E+00,-4.88281E-03
-2.9950983E+00,-4.88281E-03
-2.9950524E+00,1.46484E-02
-2.9950065E+00,-3.41797E-02
-2.9949606E+00,-5.37109E-02
-2.9949147E+00,3.41797E-02
-2.9948688E+00,-4.88281E-03
-2.9948229E+00,4.88281E-03
-2.9947770E+00,-4.88281E-03
-2.9947311E+00,2.44141E-02
-2.9946852E+00,-5.37109E-02
-2.9946392E+00,1.46484E-02
-2.9945933E+00,-6.34766E-02
-2.9945474E+00,-3.41797E-02
-2.9945015E+00,-1.46484E-02
-2.9944556E+00,-1.46484E-02
-2.9944097E+00,-1.46484E-02
-2.9943638E+00,1.46484E-02
-2.9943179E+00,1.46484E-02
-2.9942720E+00,4.88281E-03
-2.9942261E+00,1.46484E-02
-2.9941802E+00,-2.44141E-02
-2.9941343E+00,-4.88281E-03
-2.9940884E+00,-1.46484E-02
-2.9940425E+00,2.44141E-02
-2.9939966E+00,-7.32422E-02
-2.9939507E+00,2.44141E-02
-2.9939048E+00,-4.39453E-02
-2.9938589E+00,-3.41797E-02
-2.9938130E+00,4.88281E-03
-2.9937671E+00,-1.46484E-02
