in s,C2 in V
-1.1999362E+00,3.24707E+00
-1.1999178E+00,3.27637E+00
-1.1998994E+00,3.27637E+00
-1.1998811E+00,3.24707E+00
-1.1998627E+00,3.29590E+00
-1.1998444E+00,3.24707E+00
-1.1998260E+00,3.30566E+00
-1.1998076E+00,3.27637E+00
-1.1997893E+00,3.28613E+00
-1.1997709E+00,3.25684E+00
-1.1997526E+00,3.27637E+00
-1.1997342E+00,3.29590E+00
-1.1997158E+00,3.36426E+00
-1.1996975E+00,3.23730E+00
-1.1996791E+00,3.29590E+00
-1.1996608E+00,3.22754E+00
-1.1996424E+00,3.31543E+00
-1.1996240E+00,3.32520E+00
-1.1996057E+00,3.25684E+00
-1.1995873E+00,3.24707E+00
-1.1995690E+00,3.29590E+00
-1.1995506E+00,3.22754E+00
-1.1995322E+00,3.25684E+00
-1.1995139E+00,3.28613E+00
-1.1994955E+00,3.27637E+00
-1.1994772E+00,3.27637E+00
-1.1994588E+00,3.29590E+00
-1.1994404E+00,3.26660E+00
-1.1994221E+00,3.29590E+00
-1.1994037E+00,3.26660E+00
-1.1993854E+00,3.27637E+00
-1.1993670E+00,3.26660E+00
-1.1993486E+00,3.27637E+00
-1.1993303E+00,3.26660E+00
-1.1993119E+00,3.27637E+00
-1.1992936E+00,3.28613E+00
-1.1992752E+00,3.28613E+00
-1.1992568E+00,3.24707E+00
-1.1992385E+00,3.26660E+00
-1.1992201E+00,3.26660E+00
-1.1992018E+00,3.23730E+00
-1.1991834E+00,3.25684E+00
-1.1991650E+00,3.22754E+00
-1.1991467E+00,3.25684E+00
-1.1991283E+00,3.24707E+00
-1.1991100E+00,3.29590E+00
-1.1990916E+00,3.28613E+00
-1.1990732E+00,3.28613E+00
-1.1990549E+00,3.22754E+00
-1.1990365E+00,3.26660E+00
-1.1990182E+00,3.26660E+00
-1.1989998E+00,3.24707E+00
-1.1989814E+00,3.25684E+00
-1.1989631E+00,3.25684E+00
-1.1989447E+00,3.25684E+00
-1.1989264E+00,3.28613E+00
-1.1989080E+00,3.29590E+00
-1.1988896E+00,3.28613E+00
-1.1988713E+00,3.27637E+00
-1.1988529E+00,3.31543E+00
-1.1988346E+00,3.27637E+00
-1.1988162E+00,3.30566E+00
-1.1987978E+00,3.28613E+00
-1.1987795E+00,3.27637E+00
-1.1987611E+00,3.27637E+00
-1.1987428E+00,3.29590E+00
-1.1987244E+00,3.28613E+00
-1.1987060E+00,3.28613E+00
-1.1986877E+00,3.24707E+00
-1.1986693E+00,3.22754E+00
-1.1986510E+00,3.32520E+00
-1.1986326E+00,3.29590E+00
-1.1986142E+00,3.30566E+00
-1.1985959E+00,3.30566E+00
-1.1985775E+00,3.27637E+00
-1.1985592E+00,3.23730E+00
-1.1985408E+00,3.21777E+00
-1.1985224E+00,3.26660E+00
-1.1985041E+00,3.29590E+00
-1.1984857E+00,3.26660E+00
-1.1984674E+00,3.26660E+00
-1.1984490E+00,3.27637E+00
-1.1984306E+00,3.29590E+00
-1.1984123E+00,3.20801E+00
-1.1983939E+00,3.28613E+00
-1.1983756E+00,3.25684E+00
-1.1983572E+00,3.27637E+00
-1.1983388E+00,3.33496E+00
-1.1983205E+00,3.29590E+00
-1.1983021E+00,3.29590E+00
-1.1982838E+00,3.28613E+00
-1.1982654E+00,3.28613E+00
-1.1982470E+00,3.25684E+00
-1.1982287E+00,3.27637E+00
-1.1982103E+00,3.29590E+00
-1.1981920E+00,3.29590E+00
-1.1981736E+00,3.26660E+00
-1.1981552E+00,3.28613E+00
-1.1981369E+00,3.23730E+00
-1.1981185E+00,3.26660E+00
-1.1981002E+00,3.26660E+00
-1.1980818E+00,3.32520E+00
-1.1980634E+00,3.25684E+00
-1.1980451E+00,3.30566E+00
-1.1980267E+00,3.25684E+00
-1.1980084E+00,3.28613E+00
-1.1979900E+00,3.27637E+00
-1.1979716E+00,3.27637E+00
-1.1979533E+00,3.29590E+00
-1.1979349E+00,3.29590E+00
-1.1979166E+00,3.29590E+00
-1.1978982E+00,3.27637E+00
-1.1978798E+00,3.25684E+00
-1.1978615E+00,3.25684E+00
-1.1978431E+00,3.30566E+00
-1.1978248E+00,3.26660E+00
-1.1978064E+00,3.30566E+00
-1.1977880E+00,3.27637E+00
-1.1977697E+00,3.28613E+00
-1.1977513E+00,3.24707E+00
-1.1977330E+00,3.27637E+00
-1.1977146E+00,3.24707E+00
-1.1976962E+00,3.27637E+00
-1.1976779E+00,3.26660E+00
-1.1976595E+00,3.26660E+00
-1.1976412E+00,3.27637E+00
-1.1976228E+00,3.23730E+00
-1.1976044E+00,3.32520E+00
-1.1975861E+00,3.23730E+00
-1.1975677E+00,3.26660E+00
-1.1975494E+00,3.28613E+00
-1.1975310E+00,3.27637E+00
-1.1975126E+00,3.35449E+00
-1.1974943E+00,3.27637E+00
-1.1974759E+00,3.24707E+00
-1.1974576E+00,3.27637E+00
-1.1974392E+00,3.29590E+00
-1.1974208E+00,3.26660E+00
-1.1974025E+00,3.28613E+00
-1.1973841E+00,3.28613E+00
-1.1973658E+00,3.25684E+00
-1.1973474E+00,3.29590E+00
-1.1973290E+00,3.29590E+00
-1.1973107E+00,3.28613E+00
-1.1972923E+00,3.30566E+00
-1.1972740E+00,3.26660E+00
-1.1972556E+00,3.27637E+00
-1.1972372E+00,3.27637E+00
-1.1972189E+00,3.27637E+00
-1.1972005E+00,3.26660E+00
-1.1971822E+00,3.28613E+00
-1.1971638E+00,3.30566E+00
-1.1971454E+00,3.24707E+00
-1.1971271E+00,3.24707E+00
-1.1971087E+00,3.24707E+00
-1.1970904E+00,3.25684E+00
-1.1970720E+00,3.27637E+00
-1.1970536E+00,3.26660E+00
-1.1970353E+00,3.29590E+00
-1.1970169E+00,3.25684E+00
-1.1969986E+00,3.27637E+00
-1.1969802E+00,3.27637E+00
-1.1969618E+00,3.24707E+00
-1.1969435E+00,3.28613E+00
-1.1969251E+00,3.28613E+00
-1.1969068E+00,3.28613E+00
-1.1968884E+00,3.28613E+00
-1.1968700E+00,3.25684E+00
-1.1968517E+00,3.24707E+00
-1.1968333E+00,3.26660E+00
-1.1968150E+00,3.29590E+00
-1.1967966E+00,3.30566E+00
-1.1967782E+00,3.25684E+00
-1.1967599E+00,3.29590E+00
-1.1967415E+00,3.27637E+00
-1.1967232E+00,3.27637E+00
-1.1967048E+00,3.28613E+00
-1.1966864E+00,3.28613E+00
-1.1966681E+00,3.24707E+00
-1.1966497E+00,3.27637E+00
-1.1966314E+00,3.22754E+00
-1.1966130E+00,3.24707E+00
-1.1965946E+00,3.30566E+00
-1.1965763E+00,3.26660E+00
-1.1965579E+00,3.24707E+00
-1.1965396E+00,3.26660E+00
-1.1965212E+00,3.30566E+00
-1.1965028E+00,3.26660E+00
-1.1964845E+00,3.27637E+00
-1.1964661E+00,3.29590E+00
-1.1964478E+00,3.23730E+00
-1.1964294E+00,3.31543E+00
-1.1964110E+00,3.30566E+00
-1.1963927E+00,3.25684E+00
-1.1963743E+00,3.24707E+00
-1.1963560E+00,3.24707E+00
-1.1963376E+00,3.26660E+00
-1.1963192E+00,3.24707E+00
-1.1963009E+00,3.29590E+00
-1.1962825E+00,3.20801E+00
-1.1962642E+00,3.22754E+00
-1.1962458E+00,3.28613E+00
-1.1962274E+00,3.28613E+00
-1.1962091E+00,3.29590E+00
-1.1961907E+00,3.27637E+00
-1.1961724E+00,3.25684E+00
-1.1961540E+00,3.27637E+00
-1.1961356E+00,3.25684E+00
-1.1961173E+00,3.28613E+00
-1.1960989E+00,3.29590E+00
-1.1960806E+00,3.25684E+00
-1.1960622E+00,3.24707E+00
-1.1960438E+00,3.29590E+00
-1.1960255E+00,3.25684E+00
-1.1960071E+00,3.27637E+00
-1.1959888E+00,3.27637E+00
-1.1959704E+00,3.28613E+00
-1.1959520E+00,3.26660E+00
-1.1959337E+00,3.25684E+00
-1.1959153E+00,3.30566E+00
-1.1958970E+00,3.28613E+00
-1.1958786E+00,3.24707E+00
-1.1958602E+00,3.30566E+00
-1.1958419E+00,3.25684E+00
-1.1958235E+00,3.25684E+00
-1.1958052E+00,3.24707E+00
-1.1957868E+00,3.24707E+00
-1.1957684E+00,3.27637E+00
-1.1957501E+00,3.30566E+00
-1.1957317E+00,3.27637E+00
-1.1957134E+00,3.26660E+00
-1.1956950E+00,3.31543E+00
-1.1956766E+00,3.26660E+00
-1.1956583E+00,3.30566E+00
-1.1956399E+00,3.24707E+00
-1.1956216E+00,3.31543E+00
-1.1956032E+00,3.23730E+00
-1.1955848E+00,3.28613E+00
-1.1955665E+00,3.28613E+00
-1.1955481E+00,3.27637E+00
-1.1955298E+00,3.33496E+00
-1.1955114E+00,3.22754E+00
-1.1954930E+00,3.23730E+00
-1.1954747E+00,3.23730E+00
-1.1954563E+00,3.29590E+00
-1.1954380E+00,3.28613E+00
-1.1954196E+00,3.27637E+00
-1.1954012E+00,3.25684E+00
-1.1953829E+00,3.27637E+00
-1.1953645E+00,3.26660E+00
-1.1953462E+00,3.23730E+00
-1.1953278E+00,3.29590E+00
-1.1953094E+00,3.30566E+00
-1.1952911E+00,3.29590E+00
-1.1952727E+00,3.27637E+00
-1.1952544E+00,3.30566E+00
-1.1952360E+00,3.24707E+00
-1.1952176E+00,3.25684E+00
-1.1951993E+00,3.25684E+00
