in s,C1 in V
-1.1999812E+00,3.33496E+00
-1.1999628E+00,3.32520E+00
-1.1999445E+00,3.33496E+00
-1.1999262E+00,3.30566E+00
-1.1999078E+00,3.27637E+00
-1.1998895E+00,3.26660E+00
-1.1998712E+00,3.38379E+00
-1.1998528E+00,3.39355E+00
-1.1998345E+00,3.38379E+00
-1.1998162E+00,3.33496E+00
-1.1997978E+00,3.34473E+00
-1.1997795E+00,3.33496E+00
-1.1997612E+00,3.29590E+00
-1.1997428E+00,3.31543E+00
-1.1997245E+00,3.39355E+00
-1.1997061E+00,3.33496E+00
-1.1996878E+00,3.34473E+00
-1.1996695E+00,3.33496E+00
-1.1996511E+00,3.28613E+00
-1.1996328E+00,3.34473E+00
-1.1996145E+00,3.38379E+00
-1.1995961E+00,3.35449E+00
-1.1995778E+00,3.30566E+00
-1.1995595E+00,3.34473E+00
-1.1995411E+00,3.33496E+00
-1.1995228E+00,3.32520E+00
-1.1995044E+00,3.35449E+00
-1.1994861E+00,3.38379E+00
-1.1994678E+00,3.37402E+00
-1.1994494E+00,3.33496E+00
-1.1994311E+00,3.28613E+00
-1.1994128E+00,3.27637E+00
-1.1993944E+00,3.28613E+00
-1.1993761E+00,3.33496E+00
-1.1993578E+00,3.38379E+00
-1.1993394E+00,3.38379E+00
-1.1993211E+00,3.32520E+00
-1.1993028E+00,3.29590E+00
-1.1992844E+00,3.33496E+00
-1.1992661E+00,3.30566E+00
-1.1992477E+00,3.38379E+00
-1.1992294E+00,3.39355E+00
-1.1992111E+00,3.29590E+00
-1.1991927E+00,3.35449E+00
-1.1991744E+00,3.34473E+00
-1.1991561E+00,3.31543E+00
-1.1991377E+00,3.34473E+00
-1.1991194E+00,3.38379E+00
-1.1991011E+00,3.38379E+00
-1.1990827E+00,3.32520E+00
-1.1990644E+00,3.34473E+00
-1.1990460E+00,3.31543E+00
-1.1990277E+00,3.33496E+00
-1.1990094E+00,3.28613E+00
-1.1989910E+00,3.33496E+00
-1.1989727E+00,3.38379E+00
-1.1989544E+00,3.34473E+00
-1.1989360E+00,3.35449E+00
-1.1989177E+00,3.32520E+00
-1.1988994E+00,3.29590E+00
-1.1988810E+00,3.30566E+00
-1.1988627E+00,3.30566E+00
-1.1988444E+00,3.38379E+00
-1.1988260E+00,3.29590E+00
-1.1988077E+00,3.35449E+00
-1.1987893E+00,3.34473E+00
-1.1987710E+00,3.31543E+00
-1.1987527E+00,3.24707E+00
-1.1987343E+00,3.31543E+00
-1.1987160E+00,3.41309E+00
-1.1986977E+00,3.37402E+00
-1.1986793E+00,3.37402E+00
-1.1986610E+00,3.31543E+00
-1.1986427E+00,3.25684E+00
-1.1986243E+00,3.28613E+00
-1.1986060E+00,3.31543E+00
-1.1985876E+00,3.38379E+00
-1.1985693E+00,3.36426E+00
-1.1985510E+00,3.32520E+00
-1.1985326E+00,3.31543E+00
-1.1985143E+00,3.34473E+00
-1.1984960E+00,3.26660E+00
-1.1984776E+00,3.35449E+00
-1.1984593E+00,3.36426E+00
-1.1984410E+00,3.39355E+00
-1.1984226E+00,3.35449E+00
-1.1984043E+00,3.30566E+00
-1.1983860E+00,3.30566E+00
-1.1983676E+00,3.29590E+00
-1.1983493E+00,3.34473E+00
-1.1983309E+00,3.37402E+00
-1.1983126E+00,3.35449E+00
-1.1982943E+00,3.33496E+00
-1.1982759E+00,3.33496E+00
-1.1982576E+00,3.34473E+00
-1.1982393E+00,3.27637E+00
-1.1982209E+00,3.25684E+00
-1.1982026E+00,3.37402E+00
-1.1981843E+00,3.41309E+00
-1.1981659E+00,3.34473E+00
-1.1981476E+00,3.33496E+00
-1.1981292E+00,3.35449E+00
-1.1981109E+00,3.25684E+00
-1.1980926E+00,3.29590E+00
-1.1980742E+00,3.31543E+00
-1.1980559E+00,3.35449E+00
-1.1980376E+00,3.35449E+00
-1.1980192E+00,3.34473E+00
-1.1980009E+00,3.34473E+00
-1.1979826E+00,3.32520E+00
-1.1979642E+00,3.30566E+00
-1.1979459E+00,3.38379E+00
-1.1979276E+00,3.32520E+00
-1.1979092E+00,3.33496E+00
-1.1978909E+00,3.30566E+00
-1.1978725E+00,3.33496E+00
-1.1978542E+00,3.38379E+00
-1.1978359E+00,3.35449E+00
-1.1978175E+00,3.35449E+00
-1.1977992E+00,3.31543E+00
-1.1977809E+00,3.34473E+00
-1.1977625E+00,3.28613E+00
-1.1977442E+00,3.32520E+00
-1.1977259E+00,3.34473E+00
-1.1977075E+00,3.32520E+00
-1.1976892E+00,3.36426E+00
-1.1976708E+00,3.27637E+00
-1.1976525E+00,3.36426E+00
-1.1976342E+00,3.30566E+00
-1.1976158E+00,3.31543E+00
-1.1975975E+00,3.33496E+00
-1.1975792E+00,3.30566E+00
-1.1975608E+00,3.35449E+00
-1.1975425E+00,3.32520E+00
-1.1975242E+00,3.32520E+00
-1.1975058E+00,3.37402E+00
-1.1974875E+00,3.33496E+00
-1.1974692E+00,3.32520E+00
-1.1974508E+00,3.30566E+00
-1.1974325E+00,3.29590E+00
-1.1974141E+00,3.28613E+00
-1.1973958E+00,3.38379E+00
-1.1973775E+00,3.35449E+00
-1.1973591E+00,3.37402E+00
-1.1973408E+00,3.34473E+00
-1.1973225E+00,3.34473E+00
-1.1973041E+00,3.26660E+00
-1.1972858E+00,3.30566E+00
-1.1972675E+00,3.29590E+00
-1.1972491E+00,3.33496E+00
-1.1972308E+00,3.36426E+00
-1.1972124E+00,3.36426E+00
-1.1971941E+00,3.33496E+00
-1.1971758E+00,3.33496E+00
-1.1971574E+00,3.34473E+00
-1.1971391E+00,3.28613E+00
-1.1971208E+00,3.35449E+00
-1.1971024E+00,3.41309E+00
-1.1970841E+00,3.35449E+00
-1.1970658E+00,3.35449E+00
-1.1970474E+00,3.32520E+00
-1.1970291E+00,3.31543E+00
-1.1970108E+00,3.35449E+00
-1.1969924E+00,3.34473E+00
-1.1969741E+00,3.34473E+00
-1.1969557E+00,3.35449E+00
-1.1969374E+00,3.37402E+00
-1.1969191E+00,3.35449E+00
-1.1969007E+00,3.31543E+00
-1.1968824E+00,3.30566E+00
-1.1968641E+00,3.30566E+00
-1.1968457E+00,3.35449E+00
-1.1968274E+00,3.35449E+00
-1.1968091E+00,3.35449E+00
-1.1967907E+00,3.35449E+00
-1.1967724E+00,3.32520E+00
-1.1967540E+00,3.30566E+00
-1.1967357E+00,3.28613E+00
-1.1967174E+00,3.29590E+00
-1.1966990E+00,3.32520E+00
-1.1966807E+00,3.31543E+00
-1.1966624E+00,3.32520E+00
-1.1966440E+00,3.31543E+00
-1.1966257E+00,3.28613E+00
-1.1966074E+00,3.34473E+00
-1.1965890E+00,3.32520E+00
-1.1965707E+00,3.34473E+00
-1.1965524E+00,3.33496E+00
