in s,C1 in V
-2.9999009E+00,4.88281E-03
-2.9998551E+00,8.30078E-02
-2.9998092E+00,2.44141E-02
-2.9997634E+00,3.41797E-02
-2.9997176E+00,4.39453E-02
-2.9996717E+00,3.41797E-02
-2.9996259E+00,3.41797E-02
-2.9995801E+00,3.41797E-02
-2.9995343E+00,7.32422E-02
-2.9994884E+00,5.37109E-02
-2.9994426E+00,2.44141E-02
-2.9993968E+00,4.39453E-02
-2.9993509E+00,1.46484E-02
-2.9993051E+00,-4.88281E-03
-2.9992593E+00,1.02539E-01
-2.9992135E+00,-4.88281E-03
-2.9991676E+00,4.88281E-03
-2.9991218E+00,3.41797E-02
-2.9990760E+00,1.46484E-02
-2.9990301E+00,3.41797E-02
-2.9989843E+00,2.44141E-02
-2.9989385E+00,-1.46484E-02
-2.9988927E+00,4.39453E-02
-2.9988468E+00,5.37109E-02
-2.9988010E+00,-1.46484E-02
-2.9987552E+00,4.39453E-02
-2.9987094E+00,3.41797E-02
-2.9986635E+00,4.39453E-02
-2.9986177E+00,2.44141E-02
-2.9985719E+00,4.88281E-03
-2.9985260E+00,5.37109E-02
-2.9984802E+00,6.34766E-02
-2.9984344E+00,8.30078E-02
-2.9983886E+00,2.44141E-02
-2.9983427E+00,4.39453E-02
-2.9982969E+00,1.46484E-02
-2.9982511E+00,3.41797E-02
-2.9982052E+00,3.41797E-02
-2.9981594E+00,4.39453E-02
-2.9981136E+00,2.44141E-02
-2.9980678E+00,-3.41797E-02
-2.9980219E+00,4.39453E-02
-2.9979761E+00,1.46484E-02
-2.9979303E+00,4.39453E-02
-2.9978844E+00,3.41797E-02
-2.9978386E+00,4.39453E-02
-2.9977928E+00,-2.44141E-02
-2.9977470E+00,5.37109E-02
-2.9977011E+00,5.37109E-02
-2.9976553E+00,8.30078E-02
-2.9976095E+00,3.41797E-02
-2.9975637E+00,5.37109E-02
-2.9975178E+00,1.46484E-02
-2.9974720E+00,3.41797E-02
-2.9974262E+00,4.88281E-03
-2.9973803E+00,4.88281E-03
-2.9973345E+00,4.39453E-02
-2.9972887E+00,4.39453E-02
-2.9972429E+00,2.44141E-02
-2.9971970E+00,3.41797E-02
-2.9971512E+00,-4.88281E-03
-2.9971054E+00,2.44141E-02
-2.9970595E+00,-4.88281E-03
-2.9970137E+00,1.46484E-02
-2.9969679E+00,7.32422E-02
-2.9969221E+00,4.39453E-02
-2.9968762E+00,2.44141E-02
-2.9968304E+00,4.39453E-02
-2.9967846E+00,3.41797E-02
-2.9967387E+00,2.44141E-02
-2.9966929E+00,3.41797E-02
-2.9966471E+00,2.44141E-02
-2.9966013E+00,-3.41797E-02
-2.9965554E+00,5.37109E-02
-2.9965096E+00,2.44141E-02
-2.9964638E+00,4.39453E-02
-2.9964180E+00,2.44141E-02
-2.9963721E+00,1.46484E-02
-2.9963263E+00,4.39453E-02
-2.9962805E+00,5.37109E-02
-2.9962346E+00,3.41797E-02
-2.9961888E+00,3.41797E-02
-2.9961430E+00,5.37109E-02
-2.9960972E+00,3.41797E-02
-2.9960513E+00,4.88281E-03
-2.9960055E+00,4.39453E-02
-2.9959597E+00,4.39453E-02
-2.9959138E+00,2.44141E-02
-2.9958680E+00,6.34766E-02
-2.9958222E+00,5.37109E-02
-2.9957764E+00,2.44141E-02
-2.9957305E+00,6.34766E-02
-2.9956847E+00,-4.88281E-03
-2.9956389E+00,3.41797E-02
-2.9955930E+00,4.88281E-03
-2.9955472E+00,4.88281E-03
-2.9955014E+00,4.88281E-03
-2.9954556E+00,-3.41797E-02
-2.9954097E+00,6.34766E-02
-2.9953639E+00,4.39453E-02
-2.9953181E+00,1.46484E-02
-2.9952723E+00,1.46484E-02
-2.9952264E+00,2.44141E-02
-2.9951806E+00,8.30078E-02
-2.9951348E+00,4.39453E-02
-2.9950889E+00,5.37109E-02
-2.9950431E+00,4.39453E-02
-2.9949973E+00,4.39453E-02
-2.9949515E+00,2.44141E-02
-2.9949056E+00,-4.88281E-03
-2.9948598E+00,4.39453E-02
-2.9948140E+00,4.39453E-02
-2.9947681E+00,4.39453E-02
-2.9947223E+00,8.30078E-02
-2.9946765E+00,5.37109E-02
-2.9946307E+00,4.39453E-02
-2.9945848E+00,3.41797E-02
-2.9945390E+00,3.41797E-02
-2.9944932E+00,6.34766E-02
-2.9944473E+00,-4.88281E-03
-2.9944015E+00,4.39453E-02
-2.9943557E+00,4.88281E-03
-2.9943099E+00,1.46484E-02
-2.9942640E+00,8.30078E-02
-2.9942182E+00,2.44141E-02
-2.9941724E+00,3.41797E-02
-2.9941266E+00,3.41797E-02
-2.9940807E+00,-2.44141E-02
-2.9940349E+00,7.32422E-02
-2.9939891E+00,4.88281E-03
-2.9939432E+00,4.88281E-03
-2.9938974E+00,6.34766E-02
-2.9938516E+00,4.39453E-02
-2.9938058E+00,1.46484E-02
-2.9937599E+00,4.39453E-02
-2.9937141E+00,6.34766E-02
-2.9936683E+00,4.88281E-03
-2.9936224E+00,3.41797E-02
-2.9935766E+00,5.37109E-02
-2.9935308E+00,1.46484E-02
-2.9934850E+00,2.44141E-02
-2.9934391E+00,-4.88281E-03
-2.9933933E+00,5.37109E-02
-2.9933475E+00,5.37109E-02
-2.9933016E+00,5.37109E-02
-2.9932558E+00,3.41797E-02
-2.9932100E+00,1.46484E-02
-2.9931642E+00,5.37109E-02
-2.9931183E+00,5.37109E-02
-2.9930725E+00,4.88281E-03
-2.9930267E+00,5.37109E-02
-2.9929809E+00,3.41797E-02
-2.9929350E+00,3.41797E-02
-2.9928892E+00,4.39453E-02
-2.9928434E+00,4.88281E-03
-2.9927975E+00,7.32422E-02
-2.9927517E+00,4.88281E-03
-2.9927059E+00,7.32422E-02
-2.9926601E+00,7.32422E-02
-2.9926142E+00,5.37109E-02
-2.9925684E+00,6.34766E-02
-2.9925226E+00,2.44141E-02
-2.9924767E+00,5.37109E-02
-2.9924309E+00,5.37109E-02
-2.9923851E+00,2.44141E-02
-2.9923393E+00,2.44141E-02
-2.9922934E+00,6.34766E-02
-2.9922476E+00,1.46484E-02
-2.9922018E+00,-4.39453E-02
-2.9921559E+00,4.39453E-02
-2.9921101E+00,1.46484E-02
-2.9920643E+00,3.41797E-02
-2.9920185E+00,1.46484E-02
-2.9919726E+00,1.46484E-02
-2.9919268E+00,4.88281E-03
-2.9918810E+00,5.37109E-02
-2.9918352E+00,4.39453E-02
-2.9917893E+00,5.37109E-02
-2.9917435E+00,3.41797E-02
-2.9916977E+00,1.46484E-02
-2.9916518E+00,7.32422E-02
-2.9916060E+00,-1.46484E-02
-2.9915602E+00,4.88281E-03
-2.9915144E+00,-4.88281E-03
-2.9914685E+00,5.37109E-02
-2.9914227E+00,2.44141E-02
-2.9913769E+00,5.37109E-02
-2.9913310E+00,-4.88281E-03
-2.9912852E+00,-1.46484E-02
-2.9912394E+00,2.44141E-02
-2.9911936E+00,5.37109E-02
-2.9911477E+00,5.37109E-02
-2.9911019E+00,-1.46484E-02
-2.9910561E+00,7.32422E-02
-2.9910102E+00,2.44141E-02
-2.9909644E+00,1.46484E-02
-2.9909186E+00,1.46484E-02
-2.9908728E+00,2.44141E-02
-2.9908269E+00,-4.88281E-03
-2.9907811E+00,2.44141E-02
-2.9907353E+00,7.32422E-02
-2.9906895E+00,2.44141E-02
-2.9906436E+00,2.44141E-02
-2.9905978E+00,2.44141E-02
-2.9905520E+00,3.41797E-02
-2.9905061E+00,2.44141E-02
-2.9904603E+00,3.41797E-02
-2.9904145E+00,1.02539E-01
-2.9903687E+00,4.39453E-02
-2.9903228E+00,4.88281E-03
-2.9902770E+00,2.44141E-02
-2.9902312E+00,1.46484E-02
-2.9901853E+00,4.88281E-03
-2.9901395E+00,1.46484E-02
-2.9900937E+00,2.44141E-02
-2.9900479E+00,3.41797E-02
-2.9900020E+00,3.41797E-02
-2.9899562E+00,4.39453E-02
-2.9899104E+00,2.44141E-02
-2.9898645E+00,4.39453E-02
-2.9898187E+00,8.30078E-02
-2.9897729E+00,1.46484E-02
-2.9897271E+00,3.41797E-02
-2.9896812E+00,3.41797E-02
-2.9896354E+00,1.46484E-02
-2.9895896E+00,2.44141E-02
-2.9895438E+00,4.39453E-02
-2.9894979E+00,1.46484E-02
-2.9894521E+00,6.34766E-02
-2.9894063E+00,1.46484E-02
-2.9893604E+00,7.32422E-02
-2.9893146E+00,3.41797E-02
-2.9892688E+00,3.41797E-02
-2.9892230E+00,-1.46484E-02
-2.9891771E+00,6.34766E-02
-2.9891313E+00,2.44141E-02
-2.9890855E+00,4.39453E-02
-2.9890396E+00,4.39453E-02
-2.9889938E+00,3.41797E-02
-2.9889480E+00,-4.88281E-03
-2.9889022E+00,4.39453E-02
-2.9888563E+00,1.46484E-02
-2.9888105E+00,6.34766E-02
-2.9887647E+00,4.88281E-03
-2.9887188E+00,-3.41797E-02
-2.9886730E+00,5.37109E-02
-2.9886272E+00,5.37109E-02
-2.9885814E+00,2.44141E-02
-2.9885355E+00,9.27734E-02
-2.9884897E+00,4.88281E-03
-2.9884439E+00,2.44141E-02
-2.9883981E+00,1.46484E-02
-2.9883522E+00,4.39453E-02
-2.9883064E+00,2.44141E-02
-2.9882606E+00,8.30078E-02
-2.9882147E+00,2.44141E-02
-2.9881689E+00,7.32422E-02
-2.9881231E+00,5.37109E-02
-2.9880773E+00,1.46484E-02
-2.9880314E+00,2.44141E-02
-2.9879856E+00,1.46484E-02
